StartTime,EndTime,HeatDemand,ElectricityPrice,Boilers,NetProductionCost
09/02/2023 08.00.00,09/02/2023 09.00.00,"7,64","769,66","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-478,082"
09/02/2023 08.00.00,09/02/2023 09.00.00,"7,64","769,66","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,808, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-478,082"
09/02/2023 09.00.00,09/02/2023 10.00.00,"7,71","802,85","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-567,695"
09/02/2023 09.00.00,09/02/2023 10.00.00,"7,71","802,85","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,822, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-567,695"
09/02/2023 10.00.00,09/02/2023 11.00.00,"7,64","781,42","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-509,834"
09/02/2023 10.00.00,09/02/2023 11.00.00,"7,64","781,42","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,808, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-509,834"
09/02/2023 11.00.00,09/02/2023 12.00.00,"6,99","716,9","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-335,63"
09/02/2023 11.00.00,09/02/2023 12.00.00,"6,99","716,9","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,678, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-335,63"
09/02/2023 12.00.00,09/02/2023 13.00.00,"6,39","692,56","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-269,912"
09/02/2023 12.00.00,09/02/2023 13.00.00,"6,39","692,56","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,558, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-269,912"
09/02/2023 13.00.00,09/02/2023 14.00.00,"6,22","678,35","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-231,545"
09/02/2023 13.00.00,09/02/2023 14.00.00,"6,22","678,35","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,524, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-231,545"
09/02/2023 14.00.00,09/02/2023 15.00.00,"6,28","647,02","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-146,954"
09/02/2023 14.00.00,09/02/2023 15.00.00,"6,28","647,02","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,536, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-146,954"
